epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,12.8015,2.89582,3.56936,4.28239,0.00499,0.75385,0.01631,0.00553,2.77532,3.38528,4.1585,4e-05,4e-05,4e-05
2,24.3615,3.2582,3.66882,4.22657,0.00499,0.75385,0.01742,0.00589,2.7748,3.38631,4.15783,9.901e-05,9.901e-05,9.901e-05
3,36.8707,2.96097,3.49283,4.18395,0.00488,0.73846,0.09955,0.02686,2.77405,3.38585,4.15661,0.000156832,0.000156832,0.000156832
4,48.2495,2.52621,3.73306,4.30018,0.00499,0.75385,0.02819,0.00974,2.77305,3.38531,4.15491,0.000213466,0.000213466,0.000213466
5,59.6049,3.07654,3.50589,4.18299,0.00509,0.76923,0.02254,0.00681,2.77359,3.38526,4.15327,0.000268912,0.000268912,0.000268912
6,70.8761,3.01899,3.43813,4.25169,0.00509,0.76923,0.02252,0.00674,2.77457,3.38582,4.15241,0.00032317,0.00032317,0.00032317
7,82.3253,3.11268,3.37232,4.1741,0.00499,0.75385,0.02077,0.00636,2.77636,3.3863,4.15065,0.00037624,0.00037624,0.00037624
8,93.9491,3.22578,3.40413,4.12535,0.00489,0.73846,0.02218,0.00639,2.77704,3.38671,4.14957,0.000428122,0.000428122,0.000428122
9,105.723,3.035,3.26175,4.13204,0.00499,0.75385,0.0226,0.00646,2.77485,3.38723,4.14699,0.000478816,0.000478816,0.000478816
10,117.115,2.97732,3.36443,4.09312,0.00489,0.73846,0.01952,0.00596,2.77111,3.38713,4.14513,0.000528322,0.000528322,0.000528322
11,129.206,2.89959,3.1491,4.09008,0.00489,0.73846,0.02225,0.00626,2.76344,3.3816,4.13988,0.00057664,0.00057664,0.00057664
12,141.28,3.25041,3.22728,4.05,0.00509,0.76923,0.02273,0.00662,2.75884,3.3777,4.13708,0.00062377,0.00062377,0.00062377
13,153.015,2.80055,3.26661,4.01915,0.00509,0.76923,0.02518,0.00731,2.74867,3.36925,4.13235,0.000669712,0.000669712,0.000669712
14,164.754,2.94602,3.08653,3.93805,0.00519,0.78462,0.02199,0.00652,2.74115,3.36178,4.13076,0.000714466,0.000714466,0.000714466
15,176.565,2.42291,3.68446,3.92257,0.00509,0.76923,0.02057,0.00587,2.72599,3.35242,4.12852,0.000758032,0.000758032,0.000758032
16,188.701,3.18672,3.04037,3.95659,0.00509,0.76923,0.01716,0.0052,2.72816,3.3519,4.12918,0.00080041,0.00080041,0.00080041
17,200.322,3.09787,3.19262,3.95816,0.00498,0.75385,0.01434,0.0046,2.80304,3.36692,4.18682,0.0008416,0.0008416,0.0008416
18,211.913,3.05856,3.06793,3.86179,0.00499,0.75385,0.01759,0.00515,2.85648,3.37309,4.2198,0.000881602,0.000881602,0.000881602
19,223.562,2.54702,3.43506,3.88644,0.00499,0.75385,0.01967,0.00607,2.87894,3.3775,4.22838,0.000920416,0.000920416,0.000920416
20,234.756,3.18963,3.15591,3.84513,0.00509,0.76923,0.04105,0.01103,2.80192,3.34305,4.17756,0.000958042,0.000958042,0.000958042
21,246.188,3.02998,3.09845,3.80235,0.00509,0.76923,0.01975,0.00628,2.94316,3.35233,4.28,0.00099448,0.00099448,0.00099448
22,258.066,2.9727,3.21855,3.821,0.00488,0.73846,0.01676,0.00563,3.13044,3.41532,4.42136,0.00102973,0.00102973,0.00102973
23,269.883,2.90926,3.56909,3.76416,0.00478,0.72308,0.01826,0.00595,3.16747,3.3916,4.47451,0.00106379,0.00106379,0.00106379
24,281.256,2.77962,3.02662,3.62383,0.00468,0.70769,0.0189,0.00604,3.18882,3.37802,4.49841,0.00109667,0.00109667,0.00109667
25,292.667,2.6694,3.13679,3.6271,0.00488,0.73846,0.02407,0.00764,3.13854,3.33959,4.47684,0.00112835,0.00112835,0.00112835
26,304.076,3.08744,2.90585,3.5307,0.00489,0.73846,0.02381,0.00769,3.17084,3.3312,4.52513,0.00115885,0.00115885,0.00115885
27,315.742,2.88727,2.83753,3.4892,0.00489,0.73846,0.03935,0.01078,3.093,3.29266,4.46218,0.00118816,0.00118816,0.00118816
28,327.208,2.99789,2.95943,3.63962,0.00523,0.73846,0.08294,0.02266,3.02798,3.27428,4.45148,0.00121628,0.00121628,0.00121628
29,338.333,2.76955,2.863,3.52304,0.00523,0.73846,0.08294,0.02266,3.02798,3.27428,4.45148,0.00124322,0.00124322,0.00124322
30,349.331,2.79611,3.11739,3.43116,0.00649,0.66154,0.07302,0.0203,2.89441,3.25986,4.40465,0.00126896,0.00126896,0.00126896
31,361.555,2.90927,2.88215,3.44935,0.00761,0.56923,0.06892,0.02339,2.79065,3.21094,4.35378,0.00129352,0.00129352,0.00129352
32,373.535,2.64117,2.90537,3.28776,0.0073,0.58462,0.06903,0.02087,2.59602,3.20404,4.22006,0.00131689,0.00131689,0.00131689
33,385.362,2.95614,2.8255,3.47741,0.0073,0.58462,0.06903,0.02087,2.59602,3.20404,4.22006,0.00133907,0.00133907,0.00133907
34,397.448,2.75658,2.84696,3.4667,0.01383,0.47692,0.06664,0.01753,2.47209,3.19693,4.05929,0.0013466,0.0013466,0.0013466
35,409.807,3.25573,2.95118,3.74175,0.01267,0.53846,0.04725,0.01521,2.38563,3.19258,3.9057,0.0013268,0.0013268,0.0013268
36,421.595,2.90817,3.06039,3.5498,0.09559,0.12308,0.05587,0.01833,2.28964,3.21032,3.83658,0.001307,0.001307,0.001307
37,433.903,2.50332,3.15076,3.34209,0.09559,0.12308,0.05587,0.01833,2.28964,3.21032,3.83658,0.0012872,0.0012872,0.0012872
38,445.401,2.93323,2.61004,3.45979,0.14084,0.06154,0.04913,0.01526,2.2308,3.33086,3.65319,0.0012674,0.0012674,0.0012674
39,457.444,2.69943,2.91212,3.38568,0.12076,0.09231,0.06152,0.01831,2.11951,3.24102,3.45795,0.0012476,0.0012476,0.0012476
40,469.351,2.93046,2.82484,3.39563,0.09193,0.15385,0.06795,0.02063,2.27456,3.18508,3.41223,0.0012278,0.0012278,0.0012278
41,481.185,2.89776,3.07837,3.51389,0.09193,0.15385,0.06795,0.02063,2.27456,3.18508,3.41223,0.001208,0.001208,0.001208
42,493.729,2.57721,2.63034,3.15489,0.06639,0.16923,0.07223,0.0255,2.1893,3.19771,3.28587,0.0011882,0.0011882,0.0011882
43,505.872,2.70802,2.72074,3.08553,0.09235,0.29231,0.08983,0.03196,2.02494,3.19627,2.9634,0.0011684,0.0011684,0.0011684
44,517.083,2.6441,2.7938,3.27746,0.10136,0.29231,0.12276,0.03775,1.96434,5.66321,2.86171,0.0011486,0.0011486,0.0011486
45,528.224,2.77186,2.66522,3.42689,0.10136,0.29231,0.12276,0.03775,1.96434,5.66321,2.86171,0.0011288,0.0011288,0.0011288
46,539.526,2.94497,2.89589,3.46253,0.15008,0.26154,0.11539,0.04337,2.06279,6.62746,2.91797,0.001109,0.001109,0.001109
47,550.978,2.64941,2.8277,3.19788,0.23017,0.21538,0.14041,0.05162,2.11618,6.31939,2.92085,0.0010892,0.0010892,0.0010892
48,565.736,2.64911,3.07527,3.28259,0.1895,0.33846,0.16681,0.05924,2.08679,6.50959,2.83723,0.0010694,0.0010694,0.0010694
49,578.571,2.43872,2.52776,3.08645,0.1895,0.33846,0.16681,0.05924,2.08679,6.50959,2.83723,0.0010496,0.0010496,0.0010496
50,591.496,2.55299,2.69089,3.0529,0.20466,0.35385,0.17514,0.06506,1.98374,7.08002,2.76856,0.0010298,0.0010298,0.0010298
51,603.095,2.6746,2.65018,3.22741,0.25897,0.23077,0.1682,0.06877,1.93738,8.34974,2.75395,0.00101,0.00101,0.00101
52,614.587,2.29569,2.58222,3.08736,0.16569,0.47692,0.16285,0.06014,1.94833,9.38334,2.74806,0.0009902,0.0009902,0.0009902
53,626.232,2.3862,2.75811,3.08359,0.16569,0.47692,0.16285,0.06014,1.94833,9.38334,2.74806,0.0009704,0.0009704,0.0009704
54,637.605,2.40862,2.6143,3.06927,0.17136,0.41538,0.14847,0.05718,1.98647,5.59656,2.77347,0.0009506,0.0009506,0.0009506
55,649.205,2.486,2.67099,3.07154,0.27119,0.29231,0.20198,0.07725,1.99815,3.32142,2.76798,0.0009308,0.0009308,0.0009308
56,661.233,2.80873,2.73452,3.29117,0.30118,0.4,0.27205,0.11321,2.04551,2.69897,2.76621,0.000911,0.000911,0.000911
57,672.733,2.91876,3.24787,3.04583,0.30118,0.4,0.27205,0.11321,2.04551,2.69897,2.76621,0.0008912,0.0008912,0.0008912
58,684.273,2.68649,3.03145,3.17306,0.26255,0.50769,0.27603,0.12355,2.0713,2.68543,2.77168,0.0008714,0.0008714,0.0008714
59,695.986,2.88371,3.23642,3.18151,0.29093,0.41538,0.31618,0.15265,2.06432,2.64727,2.77199,0.0008516,0.0008516,0.0008516
60,708.048,2.27868,2.44912,3.01612,0.39298,0.41538,0.35982,0.15651,2.00284,3.80694,2.74639,0.0008318,0.0008318,0.0008318
61,720.698,2.47319,2.51575,3.02971,0.39298,0.41538,0.35982,0.15651,2.00284,3.80694,2.74639,0.000812,0.000812,0.000812
62,732.6,2.72644,3.09733,3.4332,0.43229,0.36923,0.33198,0.14693,1.98153,3.91899,2.70301,0.0007922,0.0007922,0.0007922
63,744.175,2.47975,2.56007,3.03413,0.35169,0.4,0.31565,0.13566,1.92875,3.21397,2.61795,0.0007724,0.0007724,0.0007724
